,"이상치제거방법
(현재 - 과거) / (과거)",유효 데이터 수,랜덤포레스트 RMSE,다중회귀 RMSE,XGBoost RMSE,Whisker,비고,,df['min']-df['price'],,,,,,,,,,,,,,,,,
33,,375,92240,47936,55438,1.1,,,랜덤포레스트,66159.64273,62667.05161,,,,,,,,145172.4281,,61140.20428,72255.67476,77671.02756,129285.8494,59055.44743,57516.88792
34,,375,93345.95654,47936,55438,1,,,다중회귀,37554.66322,33372.47553,,,,,,,,35210.49046,,36722.34704,32230.37219,41360.49334,50246.30143,32248.53946,35360.67801
35,,,,,,,,,XGBoost,35469.07368,33862.2776,,,,,,,,31522.51889,,26040.47972,36378.68422,54309.8326,35725.00644,18413.98453,37640.96421
36,min - price2 (변동률 기준),381,87182,39068,43328,1.5,,,,,,,,,,,,,,,,,,,,
37,,381,85784,39068,43328,1.4,,,,,,,,,,,,,,,,,,,,
38,,381,111806,39068,43328,1.3,,,,,,,,,,,,,,,,,,,,
39,,380,88866,43328,42778,1.2,,,,,,,,,,,,,,,,,,,,
40,,376,79312,44188,72580,1.1,,,,,,,,,,,,,,,,,,,,
41,,372,63547.51978,40294.75362,33393.8795,1,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,
43,min - price3 (변동률 기준),382,104227.3118,47056.04578,51943.5759,1.5,,,,,,,,,,,,,,,,,,,,
44,,379,119926.8037,47053.97639,40740.50438,1.4,,,,,,,,,,,,,,,,,,,,
45,,378,101044.8108,45029.75782,54491.82868,1.3,,,,,,,,,,,,,,,,,,,,
46,,376,76820.28526,48310.43816,48787.33453,1.2,,,,,,,,,,,,,,,,,,,,
47,,375,123643.0537,46183.9753,46180.81097,1.1,,,,,,,,,,,,,,,,,,,,
48,,374,77661,40998,48093,1,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,유효 데이터 수,랜덤포레스트 RMSE,다중회귀 RMSE,XGBoost RMSE,,컬럼 제거,,,,,,,,,,,,,,,,,,,
51,min - price (변동률 기준),362,89645.20079,60517.07829,54314.13293,1.5,"emb','prm','disrupt','scrap'",,,,,,,,,,,,,,,,,,,
,,,80109,62673,54333,,"emb','prm','disrupt','scrap','event','X'",,,,,,,,,,,,,,,,,,,
,,,72833,60610,53806,,,,,,,,,,,,,,,,,,,,,
,,,61953,59085,53617,,"brand', 'category', 'high/low', 'W1M0', 'line'",,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,345,70578,43511,34643,,"brand', 'category', 'high/low', 'W1M0', 'line'",,,,,,,,,,,,,,,,,,,
