name,num,col,col1,col2,wish,day,price,day1,price1,price2,price3,min,brand,category,high/low,W1M0,line,scrap,disrupt,X,event,prm,emb
(WW)New Balance 327 Unplugged Pack Greige, MS327UP , GREIGE ,beige,beige,199, 21/12/23 ,"129,000",2021.12.24,136000,135500,128000,120000,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance 530 Silver, MR530SC , SILVER/YELLOW ,gray,navy,"4,168", 19/12/02 ,"99,000",2020.4.19,99000,103000,100000,98000,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance 530 Steel Grey, MR530KA , STEEL GREY ,gray,navy,"130,000", 21/01/08 ,"99,000",2021.1.7,99000,98000,98000,89500,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance 530 White, MR530SG , WHITE/SILVER/BLUE ,white,white,"8,376", 19/12/02 ,"99,000",2020.4.20,125000,125000,125000,118500,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance 878 Gray, CM878MC1 , GRAY ,gray,gray,801, 21/01/01 ,"129,000",2021.10.16,128000,128000,128000,126000,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance 992 Made in USA Navy, M992GG , NAVY/GREY ,gray,navy,"5,965", 20/07/11 ,"259,000",2020.11.12,254000,254000,254000,220000,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
(WW)New Balance x Staud 327 Sea Salt Atlantic, MS327SZ , SEA SALT/ATLANTIC ,ivory,beige,791, 21/06/24 ,"179,600",2021.7.14,149000,149000,148000,142000,NewBalance,NewBalance,low,1.0,NM,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Converse x Off-White Chuck 70 High V2 2021, 163862C , WHITE/BOLD ORANGE-BLACK ,white,white,"4,185", 21/04/16 ,"180,000",2021.4.17,499500,499500,499500,320000,Converse,OffWhite,high,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Nike x Off-White Air Rubber Dunk University Gold, CU6015-700 , UNIVERSITY GOLD/UNIVERSITY GOLD-BLACK ,gold,gold,"3,021", 20/10/01 ,"229,000",2020.10.1,372000,338333,343000,240000,Nike,OffWhite,low,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Nike x Off-White Air Zoom Tempo Next% Black, CV0697-001 , BLACK/WHITE-SCREAM GREEN ,black,black,"1,635", 21/07/23 ,"309,000",2021.7.22,700000,460000,425000,319000,Nike,OffWhite,low,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Nike x Off-White Air Zoom Tempo Next% Pink Glow, CV0697-400 , RACER BLUE/BLACK-PINK GLOW-WHITE ,pink,pink,502, 21/07/23 ,"309,000",2021.7.23,400000,359667,320000,269000,Nike,OffWhite,low,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Nike x Off-White Dunk Low The 50 - Lot 18, DJ0950-112 , SAIL/NEUTRAL GREY ,white,gray,"9,334", 21/08/09 ,"219,000",2021.8.9,1350000,1350000,1000000,835000,Nike,OffWhite,low,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Nike x Off-White Dunk Low The 50 - Lot 46, DM1602-102 , SAIL/NEUTRAL GREY ,white,gray,"8,348", 21/08/16 ,"219,000",2021.8.17,606667,600000,690000,600000,Nike,OffWhite,low,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Ash Stone, GW0089 , ASH STONE/ASH STONE/ASH STONE ,gray,pink,907, 21/02/27 ,"289,000",2021.2.27,333500,347500,350000,327083,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
(WW)Adidas Yeezy Boost 350 V2 Beluga - Reflective, GW1229 , BELUGA RF/STEEPLE GREY/SOLAR RED ,gray,red,"5,973", 21/12/18 ,"329,000",2021.12.17,475000,446417,439333,350000,Adidas,Yeezy,low,1.0,nm,0.0,0.0,0.0,0.0,0.0,0.0
